(LogOut),(Keluar)
CONNECT WITH US,HUBUNGI KAMI
Customer Service,Layanan Pelanggan
CONTACT INFORMATION,INFORMASI KONTAK
Contact Us,Hubungi Kami
Continue,Lanjutkan
Continue as a guest,Lanjutkan Sebagai Tamu
Continue as existing user,Lanjutkan Sebagai Pengguna
Continue Shopping,Lanjutkan Belanja
Cookie Policy,Kebijakan Cookie
Country,Negara
Courier Name,Nama Kurir
CREATE ACCOUNT NOW,BUAT AKUN SEKARANG
Create an Account,Buat Akun
Create an id,Buat ID
create an id,Buat ID
Create new address,Buat Alamat Baru
Create New Customer Account,Buat Akun Pelanggan Baru
Create New Password,Buat Kata Sandi Baru
Create new return request,Buat Permohonan Pengembalian Baru
Create Your Account,Buat Akun Anda
Create your free account today and start enjoying the benefits of having an account!,Buat akun Anda hari ini and nikmati keuntungan memiliki akun bersama kami!
Current password,Kata Sandi Saat Ini
Customer Tax ID,Nomor Pajak Pelanggan
customers,pelanggan
Date,Tanggal
Date of Birth,Tanggal Lahir
DATE OF BIRTH:,TANGGAL LAHIR:
Date of Birth,Tanggal Lahir
Day,Hari
December,Desember
Default Billing Address,Alamat Penagihan
Default Shipping Address,Alamat Pengiriman
Defective item sent,Produk rusak terkirim
Delete,Hapus
DELETE USER,HAPUS PENGGUNA
Delete User Account,Hapus Akun Pengguna
Deliver here,Kirim ke Sini
Delivered,Terkirim
Delivered on,Dikirim pada
Terkirim on,Dikirim pada
DETAILS,DETIL
Details,Detil
Details & Features,Detil & Fitur
Discount,Diskon
Dispatch Date,Tanggal Pengiriman
District,Daerah
Do you want to login with different user ?,Apakah Anda ingin masuk dengan pengguna yang berbeda?
Do you want to remove the address?,Apakah Anda ingin Menghapus Alamat ini?
Don't have an asics id?,Tidak memiliki ID Asics?
don't have an id?,Tidak memiliki ID?
Double check the spelling,Periksa kembali ejaan
Dress,Gaun
Email Address,Alamat Email
Edit Account Information,Edit Informasi Akun
Edit Profile,Edit Profil
Email Account Confirmed,Akun Email Dikonfirmasi
Email Account Confirming…,Konfirmasi Akun Email…
Email address,Alamat Email
Email Address Updated,Alamat Email Diperbarui
Email Updated,Email Diperbarui
Empty Saved Address,Alamat Tersimpan Kosong
Empty Wishlist,Daftar Keinginan Kosong
"Enter a combination of at least six numbers, letters and punctuation marks (like ! and &).","Masukkan kombinasi mnimal 6 angka, huruf dan tanda baca (seperti ! Dan &)."
Enter Email Address,Masukkan Alamat Email
Enter Personal Info For Store Pickup,Masukkan Info Pribadi Untuk Pengambilan di Toko
Enter store name or address (minimum 3 characters),Masukkan Nama Toko Atau Alamat Toko (Minimal 3 Karakter)
Enter you email address,Masukkan Alamat Email Anda
"Enter your email address, so we can send you an email from which you can reset your password","Masukkan alamat email Anda, agar kami dapat mengirimkan Anda email yang dapat digunakan untuk mengubah ulang kata sandi Anda"
"Enter your email address, so we can send you an email from which you can reset your password.","Masukkan alamat email Anda, agar kami dapat mengirimkan Anda email yang dapat digunakan untuk mengubah ulang kata sandi Anda"
Enter your email address…,Masukkan Alamat Email Anda…
Enter your first name,Masukkan Nama Depan Anda
Enter your information to help us tailor gear and services for you.,Masukkan informasi Anda untuk membantu kami dalam melayani Anda
Enter your new email address…,Masukkan Alamat Email Baru Anda…
Enter your old password…,Masukkan Kata Sandi Lama Anda…
Enter your password…,Masukkan Kata Sandi Anda…
Enter your surname,Masukkan Nama Belakang Anda
EXCLUSIVES,EKSKLUSIF
Expiration Date,Tanggal Kadaluwarsa
Expiry date,Tanggal Kadaluwarsa
Explore our Brands,Jelajahi Merek Kami
Extra wide,Ekstra lebar
Family Name,Nama Keluarga
Faster checkout,Checkout Lebih Cepat
February,Februari
Female,Wanita
Filter By,Filter Menurut
Find A Store,Temukan Toko
Find out more,Temukan Lebih Banyak Lagi
Find Your Store,Temukan Toko Anda
First Name,Nama Depan
"First, agree to the terms and conditions, then try placing your order again.","Pertama, setujui Syarat dan Ketentuan. Kemudian coba lakukan pemesanan lagi."
FLAGSHIP STORE,TOKO FLAGSHIP
"For full tax invoice, please insert your personal tax ID number in the field.","Untuk faktur pajak lengkap, silakan masukkan nomor NPWP pribadi Anda di kolom."
Forget Password,Lupa Kata Sandi
Forgot Password?,Lupa Kata Sandi?
Forgot Your Password?,Lupa Kata Sandi Anda?
Forgot your password? Click Here,Lupa Kata Sandi Anda? Klik Disini
Free Shipping & Free Returns (Details),Gratis Pengiriman dan Pengembalian (Detil)
Fri,Jumat
Friday,Jumat
Fuss-free returns,Pengembalian mudah
Gender,Jenis Kelamin
Get Started,Mulai
Get updates about your Order status. Enter your Order ID and Email.,Dapatkan pembaruan tentang status pesanan Anda. Masukkan ID pesanan dan email Anda.
Go back,Kembali.
Gross Amount:,Jumlah bruto:
Have A Promo Code?,Memiliki Kode Promosi?
Having trouble in singing in?,Kesulitan Masuk?
Having trouble signing in?,Kesulitan Masuk?
Hello,Halo
Hello %1,Halo %1
Help,Bantuan
HELP,BANTUAN
Home,Rumah
Home Delivery (Standard),Pengiriman ke Rumah (Standar)
Standard,Standar
Hoodies,Hoodie
I agree to the Conditions of Use and I understand and agree that my information will be used as described on this page and the ASICS Privacy Policy,"Saya memahami dan setuju dengan Ketentuan Penggunaan, bahwa informasi saya akan digunakan seperti yang dijelaskan pada halaman ini dan Kebijakan Privasi ASICS."
I confirm that the product is unused and with original tags intact.,Saya mengkonfirmasi bahwa produk tersebut tidak digunakan dan dengan tag asli masih utuh.
I have read the <a href='%1'>privacy policy</a> and agree with it upon clicking the Submit button.,Saya telah membaca <a href='%1'>kebijakan privasi</a> dan menyetujuinya setelah klik tombol Masukkan.
"I have read the <a href=""%1"">Onitsuka Tiger Terms and Conditions</a> and I agree with it.","Saya telah membaca <a href=""%1"">Syarat dan Ketentuan Onitsuka Tiger</a> dan saya menyetujuinya."
"I would like to receive communications from ONITSUKA TIGER - including for exclusive member services, events, and gear. I have read , understood and agree to the applicable
<a href='%1'>Privacy Policy</a>","Saya ingin menerima komunikasi dari ONITSUKA TIGER - termasuk untuk layanan, event, dan perlengkapan eksklusif anggota. Saya telah membaca, memahami, dan menyetujui ketentuan yang berlaku.
 <a href='%1'>Kebijakan Privasi</a>"""
I would like to receive news and promotions from ASICS by email tailored to my preferences and interests,Saya ingin menerima berita dan promosi dari ASICS melalui email yang disesuaikan dengan preferensi dan minat saya
"I would like to receive newsletters and information about products, services and events by Email, tailored to my interests and preferences, as described in the <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a>.","Saya ingin menerima newsletter dan informasi mengenai produk, layanan, dan event melalui Email, yang disesuaikan dengan minat dan preferensi saya, seperti yang dijelaskan dalam <a href=""{{privacy_url}}"" target=""_blank"">Kebijakan Privasi</a >."
"I would like to receive newsletters and information about products, services and events by email, tailored to my interests and preferences as described in the Privacy Policy.","Saya ingin menerima newsletter dan informasi mengenai produk, layanan, dan event melalui email, yang disesuaikan dengan minat dan preferensi saya seperti yang dijelaskan dalam Kebijakan Privasi."
If there is an account associated with %1 you will receive an email with a link to reset your password.,Jika ada akun yang terkait dengan %1 Anda akan menerima email dengan tautan untuk mengubah ulang kata sandi Anda.
"If you have an account, sign in with your email address.","Jika Anda memiliki akun, silakan masuk dengan alamat email Anda."
"If you have any additional questions or concerns, please feel free to contact us at","Apabila Anda memiliki pertanyaan, silakan hubungi kami di"
"If you have any additional questions or concerns, please feel free to contact us at <a href=mailto:%store_email"">%store_email</a>.""","Apabila Anda memiliki pertanyaan, silakan hubungi kami di <a href=mailto:%store_email"">%store_email</a>."""
"If you have opted for guest checkout, please email %1 to process your returns.","Jika Anda telah memilih untuk checkout sebagai tamu, silakan kirim email ke %1 untuk memproses pengembalian Anda."
"If you have opted for guest checkout, please email customers-th@asics.com to process your returns.","Jika Anda telah memilih untuk checkout sebagai tamu, silakan kirim email ke customers-th@asics.com untuk memproses pengembalian Anda."
"If you want to delete your user data from <strong>all ASICS services</strong>, click the button below.","Jika Anda ingin menghapus data pengguna Anda dari <strong>semua layanan ASICS</strong>, klik tombol di bawah ini."
"If you want to delete your user data from a specific ASICS service and leave your ASICS account intact, use the following links:","Jika Anda ingin menghapus data pengguna Anda dari layanan ASICS tertentu dan membiarkan akun ASICS Anda tetap utuh, gunakan tautan berikut:"
Incorrect CAPTCHA,CAPTCHA salah
Installment available,Cicilan Tersedia
Installment Plans,Cicilan
Installment plans are available for your order,Rencana cicilan tersedia untuk pesanan Anda
"Installment: up to 10months, as low as $699.00 per month","Cicilan: hingga 10 bulan, mulai dari $699.00 per bulan"
Invalid Credentials,Kredensial tidak valid
Invalid email,Email tidak valid
Invalid email or password,Email atau kata sandi tidak valid
Invalid entry,Data tidak valid
Invalid login or password.,Login atau kata sandi tidak valid.
Invalid UserName,Nama pengguna tidak valid
Invoice,Tagihan
Invoice Date,Tanggal Tagihan
Invoice No,No Tagihan
It looks like this page is lost.,Sepertinya halaman ini hilang.
It looks like you've entered the wrong info. Please make sure that you use your real date of birth.,Sepertinya Anda salah memasukkan informasi. Pastikan bahwa Anda memasukkan tanggal lahir Anda dengan benar.
Item Description,Deskripsi Produk
Item in Cart,Produk di Keranjang
Item qty declaration error,Terjadi kesalahan saat menginformasikan qty produk
Item(s),Produk
Items were not selected,Produk tidak dipilih
January,Januari
July,Juli
June,Juni
Key,Kunci
KIDS,ANAK-ANAK
Last Name,Nama Keluarga
Legal Agreements,Perjanjian Hukum
Log in using your account from,Masuk menggunakan akun Anda dari
LOGIN,MASUK
Login,Masuk
LOGIN / REGISTER,MASUK/DAFTAR
Login Successful,Masuk Berhasil
Logout,Keluar
Male,Pria
Manage Addresses,Kelola Alamat
Manage your cards,Kelola Kartu Anda
March,Maret
May,Mei
MEN,PRIA
Message length must not exceed %1 symbols,Panjang pesan tidak boleh melebihi %1 karakter
Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.,Panjang minimum kolom ini harus sama atau lebih besar dari %1 karakter. Spasi awal dan akhir akan diabaikan.
Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.,Panjang minimum kolom ini harus sama atau lebih besar dari 8 karakter. Spasi awal dan akhir akan diabaikan.
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum jenis karakter yang berbeda dalam kata sandi adalah %1. Kelas karakter: Huruf Kecil, Huruf Besar, Digit, Karakter Khusus."
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum jenis karakter yang berbeda dalam kata sandi adalah 3. Kelas karakter: Huruf Kecil, Huruf Besar, Digit, Karakter Khusus."
Mobile,Nomor Handphone
Mobile No,No Handphone
Mobile No.,No Handphone
Mobile Number,No Handphone
Mode of Refund,Metode Pengembalian Dana
Mon,Senin
Monday,Senin
Month,Bulan
Must be at least 8 characters,Harus minimal 8 karakter
My Account,Akun Saya
My Account Login,Masuk Akun Saya
My Orders,Pesanan Saya
My Profile,Profil Saya
My Returns,Pengembalian Saya
My Returns Requests,Permohonan Pengembalian Saya
My Saved Addresses,Alamat Tersimpan Saya
My Saved Cart,Keranjang Tersimpan Saya
MY WISH LIST,DAFTAR KEINGINAN SAYA
My Wishlist,Daftar Keinginan Saya
My Wish List,Daftar Keinginan Saya
Name,Nama
Name on card,Nama di kartu
Narrow,Kecil
Need an account?,Butuh Akun?
Need Help?,Butuh Bantuan?
Need to login,Perlu masuk
New Account Created,Akun Baru Dibuat
NEW ARRIVALS,TERBARU
New Arrivals,Terbaru
New Customers,Pelanggan Baru
New Email,Email Baru
new password,Kata Sandi Baru
New to old,Baru ke lama
NEWSLETTERS,NEWSLETTER
next,lanjut
Next,Lanjut
Next Month,Bulan Selanjutnya
No customers to show.,Tidak ada pelanggan untuk ditampilkan.
No Password,Tidak Ada Kata Sandi
No transactions found in the selected time duration.,Tidak ditemukan transaksi dalam durasi waktu yang dipilih.
No. Of Items:,No. Produk:
Not registered? Create your ASICS ID,Tidak terdaftar? Buat ID ASICS Anda
"Note: You will be re-directed to a payment gateway page to complete your purchase.""",Catatan: Anda akan diarahkan kembali ke halaman gateway pembayaran untuk menyelesaikan pembelian Anda.
Notification Status,Status Pemberitahuan
October,Oktober
Office,Kantor
Old Password,Kata Sandi Lama
"Once payment is confirmed, a confirmation email will be sent to","Setelah pembayaran dikonfirmasi, email konfirmasi akan dikirim ke"
Online Payment,Pembayaran Online
Option available only for orders in SGD,Opsi hanya tersedia untuk pesanan dalam SGD
Option available only for orders in THB,Opsi hanya tersedia untuk pesanan dalam THB
OR,ATAU
Order,Pesanan
Order #,Pesanan #
Order all,Pesan Semua
Order Date,Tanggal Pemesanan
Order Date:,Tanggal Pemesanan:
Order Details,Detil Pemesanan
Order Discount,Diskon Pesanan
Order history,Riwayat Pesanan
Order history tracking,Lacak Riwayat Pesanan
Order ID,ID Pesanan
Order ID:,ID Pesanan:
Order Method:,Metode Pengiriman:
Order No,No Pesanan
Order Number:,Nomor Pemesanan:
Order Placed:,Pesanan Ditempatkan:
Order Return,Pengembalian Pesanan
Order Status:,Status Pemesanan:
Order Subtotal,Subtotal Pesanan
Order Summary,Ringkasan Pesanan
Order Total,Total Pemesanan
Order Tracking,Lacak Pesanan
Ordered Quantity,Kuantitas Pesanan
Original mode of payment,Metode pembayaran awal
Other,Lainnya
Password,Kata Sandi
Password Changed,Kata Sandi Diganti
Password does not match the confirm password.,Kata sandi tidak cocok dengan kata sandi konfirmasi.
Password Field,Kolom Kata Sandi
Password Recovery,Pemulihan Kata Sandi
Password Required,Kata Sandi Dibutuhkan
Password Reset Email Sent,Setel Ulang Kata Sandi Email Terkirim
Password Strength,Kekuatan Kata Sandi
Password Strength: Strong,Kekuatan Kata Sandi: Kuat
Password Strength: Weak,Kekuatan Kata Sandi: Lemah
Password:,Kata Sandi:
"Paste the pre-paid return shipping label that is include with your order, and drop it off at any post office or POPStation.","Tempelkan Label Pengiriman Pengembalian Prabayar Yang Disertakan Dengan Pesanan Anda, dan Letakkan di Kantor Pos Atau Popsstation Mana Pun."
PAY,BAYAR
Pay the cash to our logistic provider when you receive the delivery at your doorstep rather than paying in advance. The delivery address provided should be under serviceable network of our courier partner. Kindly provide accurate address and pin code. Only cash will be accepted by the delivery personal (Any other payment type will not be accepted),Bayar Tunai ke Penyedia Logistik Kami Saat Anda Menerima Pengiriman Di Depan Pintu Anda Daripada Membayar di Muka. Alamat Pengiriman yang Diberikan Harus Berada di Bawah Jaringan Mitra Kurir Kami yang Dapat Diservis. Mohon Memberikan Alamat yang Akurat dan Kode Pin. Hanya Uang Tunai yang Akan Diterima Oleh Petugas Pengiriman (Jenis Pembayaran Lainnya Tidak Akan Diterima)
Payment,Pembayaran
Payment Instructions,Instruksi Pembayaran
Payment Method,Metode Pembayaran
Payments,Pembayaran
PayNow QR Code.,Kode QR PayNow
per page,per halaman
Personal Information,Informasi Pribadi
Phone,Telepon
Phone Number,Nomor telepon
Place Order,Tempatkan Pesanan Anda
PLACE YOUR ORDER,TEMPATKAN PESANAN ANDA
Please accept our terms & conditions and privacy policy.,Mohon terima syarat & ketentuan dan kebijakan privasi kami.
Please accept the Return Policy,Mohon terima Kebijakan Pengembalian
Please allow at least %1 working days to process your refunds.,Mohon tunggu setidaknya %1 hari kerja untuk memproses pengembalian dana Anda.
Please allow at least 15 working days to process your refunds.,Mohon tunggu setidaknya 15 hari kerja untuk memproses pengembalian dana Anda.
Please click below to confirm this change.,Silakan klik di bawah ini untuk mengkonfirmasi perubahan ini.
Please click Update Shopping Cart to confirm the change.,Silakan klik Perbarui Keranjang Belanja untuk mengkonfirmasi perubahan.
Please confirm you email address,Mohon konfirmasi alamat email Anda
Please confirm your email address,Mohon konfirmasi alamat email Anda
Please enter a valid email address (Ex: johndoe@domain.com),Silakan masukkan alamat email yang valid (Contoh: johndoe@domain.com)
Please enter a valid email address (Ex: johndoe@domain.com).,Silakan masukkan alamat email yang valid (Contoh: johndoe@domain.com)
Please enter a valid email address.,Silakan isi alamat email.
Please enter a valid number in this field.,Masukkan nomor yang valid di kolom ini.
Please enter a valid Promo code to avail the discount offer.,Silakan masukkan kode Promo yang valid untuk memanfaatkan penawaran diskon.
Please enter less or equal than {0} symbols.,Mohon masukkan kurang atau sama dengan {0} karakter.
Please enter less or equal than %1 symbols.,Mohon masukkan kurang atau sama dengan %1 karakter.
Please enter more or equal than {0} symbols.,Mohon masukkan lebih banyak atau sama dengan {0} karakter.
Please enter more or equal than %1 symbols.,Mohon masukkan lebih banyak atau sama dengan %1 karakter.
Please enter the same value again.,Mohon masukkan nilai yang sama lagi.
Please enter your email address below to receive a password reset link.,Silakan masukkan alamat email Anda di bawah ini untuk menerima tautan pengaturan ulang kata sandi.
Please enter your email.,Masukkan email Anda.
Please enter your new email address below. We will send a confirmation email to the new address.,Silakan masukkan alamat email baru Anda di bawah ini. Kami akan mengirimkan email konfirmasi ke alamat baru.
Please follow the link to find payment instructions,Silakan ikuti tautan untuk menemukan petunjuk pembayaran
PLEASE MAKE SURE…,MOHON PASTIKAN….
Please note that an online return request form has to be raised in order to process your return.,Mohon dicatat bahwa formulir permohonan pengembalian online harus diajukan untuk memproses pengembalian Anda.
"Please note that we accept all items except all sale items, socks, and innerwear items, with original tags and in their original packaging.","Mohon dicatat bahwa kami menerima semua produk kecuali semua produk sale, kaus kaki, dan produk innerwear, dengan tag asli dan dalam kemasan aslinya."
Please read the Disclaimer here,Silakan baca Disclaimer disini
"Please reject shipment(s) if packaging has signs of severe damage (torn, with holes etc)","Mohon tolak pengiriman jika kemasan memiliki tanda-tanda kerusakan parah (sobek, berlubang, dll)"
Please reject shipment(s) if packaging has signs of severe damage such as torn packaging,Mohon tolak pengiriman jika kemasan memiliki tanda-tanda kerusakan parah seperti kemasan sobek
Please select an option,Silakan pilih opsi
Please select an option.,Silakan pilih salah satu opsi.
Please Select Reason for,Silakan Pilih Alasan untuk
Please select valid date,Silakan pilih tanggal yang valid
Please select your country.,Silakan pilih negara Anda.
Please select your date of birth.,Silakan pilih tanggal lahir Anda.
Please select your gender.,Silakan pilih jenis kelamin Anda.
Please sign in to change your email.,Silakan masuk untuk mengubah email Anda.
Please sign in to change your password.,Silakan masuk untuk mengubah kata sandi Anda.
Please sign in to delete your account.,Silakan masuk untuk menghapus akun Anda.
Please sign in to update your profile.,Silakan masuk untuk memperbarui profil Anda.
Please specify product option(s).,Silakan tentukan pilihan produk.
Please type the letters and numbers below,Silakan ketik huruf dan angka di bawah ini
Please verify that you used your correct birthday.,Silakan verifikasi bahwa Anda menggunakan tanggal lahir Anda yang benar.
Popularity,Popularitas
Post/Zip code,Kode pos/pos
Postal Code,Kode Pos
Postal Returns (For Home Delivery orders),Pengembalian Pos (Untuk pesanan Pengiriman ke Rumah)
Press,Tekan
Previous Month,Bulan sebelumnya
PRICE,HARGA
Price High to Low,Harga tinggi ke rendah
Price Low to High,Harga rendah ke tinggi
Print,Cetak
Print Order Summary,Cetak Ringkasan Pesanan
Privacy Policy,Kebijakan Privasi
Proceed to Checkout,Lanjutkan ke pembayaran
Product,Produk
Product Details,Detil Produk
Product No,No Produk
Profile,Profil
Promo code:,Kode Promosi:
Promotion Discount:,Diskon Promosi:
Province,Provinsi
Quantity:,Kuantitas:
Quick View,Lihat Sekilas
Read More,Baca Selengkapnya
Reason Code,Kode Alasan
Reason for return,Alasan pengembalian
Receive News Letter,Terima Newsletter
Receive special offers & the latest exclusive news about Onitsuka Tiger products.,Dapatkan penawaran khusus & berita eksklusif terbaru tentang produk Onitsuka Tiger.
Recent Orders,Pesanan Terbaru
Refund to original payment method,Pengembalian dana ke metode pembayaran awal
Register,Daftar
Relevance,Relevansi
Reload captcha,Muat ulang captcha
Remember Me,Ingat Saya
Remember me for next time,Ingat saya untuk waktu berikutnya
Remember this card,Ingat kartu ini
Reorder,Pesan Lagi
Reorder All,Pesan Lagi Semuanya
Required Fields,Kolom ini harus diisi
RESET MY PASSWORD,UBAH KATA SANDI
Reset Password,Ubah Kata Sandi
reset your password,Ubah Kata Sandi Anda
Return,Pengembalian
Return (Please Tick),Pengembalian (Silakan Centang)
Return All,Kembalikan Semua
RETURN FORM,FORMULIR PENGEMBALIAN
RETURN POLICY,KEBIJAKAN PENGEMBALIAN
Return Quantity,Kuantitas Pengembalian
Return Request,Permohonan Pengembalian
Return(Please Tick),Pengembalian (Silakan Centang)
Returning an item is eaay with us!,Mengembalikan produk adalah hal yang mudah bagi kami!
Returns Policy,Kebijakan pengembalian
SALE,OBRAL
Sat,Sabtu
Saturday,Sabtu
SAVE,SIMPAN
Save & Continue,Simpan & Lanjutkan
save and continue,Simpan dan Lanjutkan
Saved addresses,Alamat tersimpan
Search,Cari
Search Result,Hasil pencarian
SEARCH...,CARI…
Security code,Kode keamanan
Select,Pilih
Select a card to proceed,Pilih kartu untuk melanjutkan
Select a payment method,Pilih metode pembayaran
Select an Option,Pilih Opsi
Select Date,Pilih Tanggal
Select Month,Pilih Bulan
select size,Pilih ukuran
Select some Options,Pilih beberapa Opsi
select width,pilih lebar
Select Year,Pilih Tahun
Select your country,Pilih negara Anda
Select your date of birth. You can change who can see this later.,Pilih tanggal lahir. Anda dapat mengubah siapa yang dapat melihat ini nanti
Select your gender,Pilih jenis kelamin Anda
Select your preferred store for pick up,Pilih toko pilihan Anda untuk pengambilan
Selected option(s) or their combination is not currently available.,Opsi yang dipilih atau kombinasinya saat ini tidak tersedia.
Send Reset Link,Kirim Tautan Setel Ulang
Services,Layanan
